Team,Win,Draw,Loss,GoalsFor,GoalsAgainst,Matches,Points,GD,AvgPoints,AvgGoalsFor,AvgGoalsAgainst,Rank
Liverpool,25,9,4,86,41,38,84,45,2.21,2.26,1.08,1
Arsenal,20,14,4,69,34,38,74,35,1.95,1.82,0.89,2
Man City,21,8,9,72,44,38,71,28,1.87,1.89,1.16,3
Chelsea,20,9,9,64,43,38,69,21,1.82,1.68,1.13,4
Newcastle,20,6,12,68,47,38,66,21,1.74,1.79,1.24,5
Aston Villa,19,9,10,58,51,38,66,7,1.74,1.53,1.34,6
Nott'm Forest,19,8,11,58,46,38,65,12,1.71,1.53,1.21,7
Brighton,16,13,9,66,59,38,61,7,1.61,1.74,1.55,8
Bournemouth,15,11,12,58,46,38,56,12,1.47,1.53,1.21,9
Brentford,16,8,14,66,57,38,56,9,1.47,1.74,1.5,10
Fulham,15,9,14,54,54,38,54,0,1.42,1.42,1.42,11
Crystal Palace,13,14,11,51,51,38,53,0,1.39,1.34,1.34,12
Everton,11,15,12,42,44,38,48,-2,1.26,1.11,1.16,13
West Ham,11,10,17,46,62,38,43,-16,1.13,1.21,1.63,14
Man United,11,9,18,44,54,38,42,-10,1.11,1.16,1.42,15
Wolves,12,6,20,54,69,38,42,-15,1.11,1.42,1.82,16
Tottenham,11,5,22,64,65,38,38,-1,1.0,1.68,1.71,17
Leicester,6,7,25,33,80,38,25,-47,0.66,0.87,2.11,18
Ipswich,4,10,24,36,82,38,22,-46,0.58,0.95,2.16,19
Southampton,2,6,30,26,86,38,12,-60,0.32,0.68,2.26,20
